"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.457876610E-1,1.444666684E-1,-4.127619043E-2,9.824032784E0
2.482729220E-1,8.703892678E-2,-1.016949583E-2,9.821640015E0
2.507581820E-1,1.420738399E-1,-2.691925503E-2,9.814460754E0
2.532434420E-1,1.372881979E-1,-3.409772366E-2,9.788140297E0
2.557287030E-1,8.943174779E-2,-2.991028363E-3,9.773782730E0
2.582139630E-1,1.037886813E-1,-4.127619043E-2,9.821640015E0
2.606992760E-1,9.900303930E-2,-2.691925503E-2,9.843174934E0
2.631845360E-1,9.421738982E-2,-2.931207791E-2,9.828818321E0
2.656697970E-1,1.133599728E-1,-2.691925503E-2,9.797711372E0
2.681550570E-1,1.181456149E-1,-4.636093974E-2,9.790533066E0
2.706403170E-1,1.085743308E-1,-1.495514158E-2,9.802496910E0
2.731255780E-1,8.464609832E-2,-3.649054468E-2,9.826425552E0
2.756108380E-1,1.348953694E-1,-4.127619043E-2,9.828818321E0
2.780960990E-1,1.037886813E-1,-5.383851007E-3,9.778569221E0
2.805813590E-1,1.229312643E-1,-1.256231871E-2,9.766604424E0
2.830666720E-1,1.037886813E-1,-2.452643216E-2,9.800104141E0
2.855519320E-1,8.943174779E-2,-2.931207791E-2,9.824032784E0
2.880371920E-1,9.421738982E-2,-1.495514158E-2,9.833603859E0
2.905224530E-1,1.348953694E-1,-1.016949583E-2,9.804889679E0
2.930077130E-1,1.085743308E-1,-7.776673418E-3,9.768997192E0
2.954929740E-1,8.464609832E-2,-1.256231871E-2,9.788140297E0
2.979782340E-1,1.229312643E-1,-1.256231871E-2,9.821640015E0
3.004635470E-1,1.157527938E-1,-1.256231871E-2,9.814460754E0
3.029488070E-1,1.037886813E-1,-2.691925503E-2,9.797711372E0
3.054340670E-1,1.205384433E-1,-1.734796353E-2,9.788140297E0
3.079193280E-1,1.109671518E-1,1.136590727E-2,9.780961990E0
3.104045880E-1,1.085743308E-1,-1.974078640E-2,9.804889679E0
3.128898490E-1,1.420738399E-1,-3.409772366E-2,9.828818321E0
3.153751090E-1,1.325025558E-1,-1.734796353E-2,9.821640015E0
3.178603690E-1,1.396810263E-1,-1.974078640E-2,9.783354759E0
3.203456820E-1,1.372881979E-1,-5.982056609E-4,9.807282448E0
3.228309420E-1,1.348953694E-1,-1.734796353E-2,9.826425552E0
3.253162030E-1,1.348953694E-1,-2.691925503E-2,9.826425552E0
3.278014630E-1,1.396810263E-1,-3.649054468E-2,9.819247246E0
3.302867240E-1,1.157527938E-1,-3.409772366E-2,9.800104141E0
3.327719840E-1,1.133599728E-1,-1.974078640E-2,9.795318604E0
3.352572440E-1,1.636092514E-1,-4.127619043E-2,9.792925835E0
3.377425050E-1,1.205384433E-1,-3.170489892E-2,9.828818321E0
3.402278170E-1,9.900303930E-2,-1.256231871E-2,9.828818321E0
3.427130780E-1,1.325025558E-1,-5.114658549E-2,9.773782730E0
3.451983380E-1,1.109671518E-1,-1.256231871E-2,9.790533066E0
3.476835990E-1,9.182456881E-2,-1.495514158E-2,9.814460754E0
3.501688590E-1,1.013958603E-1,-2.691925503E-2,9.826425552E0
3.526541190E-1,8.464609832E-2,-2.691925503E-2,9.809675217E0
3.551393800E-1,7.028916478E-2,-1.495514158E-2,9.783354759E0
3.576246920E-1,1.133599728E-1,-2.691925503E-2,9.800104141E0
3.601099530E-1,9.900303930E-2,-2.213360928E-2,9.795318604E0
3.625952130E-1,8.943174779E-2,-3.170489892E-2,9.819247246E0
3.650804740E-1,1.301097274E-1,-3.649054468E-2,9.819247246E0
3.675657340E-1,9.661021084E-2,-2.931207791E-2,9.802496910E0
3.700509940E-1,1.037886813E-1,-7.776673418E-3,9.776176453E0
3.725362550E-1,1.085743308E-1,-3.170489892E-2,9.792925835E0
3.750215150E-1,1.085743308E-1,1.615155302E-2,9.807282448E0
3.775068280E-1,9.900303930E-2,1.794616925E-3,9.809675217E0
3.799920880E-1,1.181456149E-1,-5.383851007E-3,9.824032784E0
3.824773490E-1,1.109671518E-1,-3.170489892E-2,9.785747528E0
3.849626090E-1,1.085743308E-1,-7.776673418E-3,9.795318604E0
3.874478690E-1,1.277169138E-1,-7.776673418E-3,9.819247246E0
3.899331300E-1,1.301097274E-1,-2.931207791E-2,9.812067986E0
3.924184420E-1,1.348953694E-1,-1.256231871E-2,9.790533066E0
3.949036510E-1,1.396810263E-1,4.187439568E-3,9.776176453E0
3.973889630E-1,1.372881979E-1,-2.931207791E-2,9.788140297E0
3.998742240E-1,1.205384433E-1,-2.452643216E-2,9.821640015E0
4.023594840E-1,1.205384433E-1,-2.213360928E-2,9.809675217E0
4.048447440E-1,1.348953694E-1,-3.170489892E-2,9.814460754E0
4.073300050E-1,1.325025558E-1,-1.734796353E-2,9.800104141E0
4.098152650E-1,1.396810263E-1,-3.170489892E-2,9.783354759E0
4.123005780E-1,1.348953694E-1,-2.691925503E-2,9.804889679E0
4.147858380E-1,1.229312643E-1,-5.383851007E-3,9.807282448E0
4.172710990E-1,1.444666684E-1,-1.734796353E-2,9.797711372E0
4.197563590E-1,1.229312643E-1,-2.931207791E-2,9.804889679E0
4.222416190E-1,1.396810263E-1,-1.016949583E-2,9.807282448E0
4.247268800E-1,1.420738399E-1,-1.974078640E-2,9.797711372E0
4.272121920E-1,1.372881979E-1,-3.170489892E-2,9.821640015E0
4.296974530E-1,1.037886813E-1,1.615155302E-2,9.807282448E0
4.321827130E-1,1.348953694E-1,-2.931207791E-2,9.790533066E0
4.346679740E-1,1.396810263E-1,-2.691925503E-2,9.792925835E0
4.371532340E-1,1.109671518E-1,-2.213360928E-2,9.790533066E0
4.396384940E-1,9.182456881E-2,-1.256231871E-2,9.804889679E0
4.421237550E-1,1.109671518E-1,-2.931207791E-2,9.807282448E0
4.446090150E-1,7.986045629E-2,1.375873014E-2,9.807282448E0
4.470943280E-1,1.037886813E-1,-3.649054468E-2,9.778569221E0
4.495795880E-1,1.253240854E-1,-2.213360928E-2,9.788140297E0
4.520648490E-1,8.703892678E-2,-1.256231871E-2,9.804889679E0
4.545501090E-1,1.181456149E-1,-3.170489892E-2,9.807282448E0
4.570353690E-1,1.133599728E-1,-4.127619043E-2,9.797711372E0
4.595206300E-1,9.661021084E-2,-1.016949583E-2,9.792925835E0
4.620058900E-1,1.181456149E-1,-2.991028363E-3,9.800104141E0
4.644912030E-1,1.157527938E-1,-2.213360928E-2,9.802496910E0
