"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.123598490E-1,-3.359660041E-3,-1.603474026E-3,9.926267667E-4
3.148451090E-1,-3.054236295E-4,-2.214321401E-3,-8.399150101E-4
3.173303690E-1,-9.162708884E-4,-3.436015919E-3,9.926267667E-4
3.198156820E-1,-1.527118147E-3,-2.825168660E-3,9.926267667E-4
3.223009420E-1,-9.162708884E-4,-9.926267667E-4,9.926267667E-4
3.247862030E-1,-2.137965523E-3,-9.926267667E-4,-2.290677221E-4
3.272714630E-1,-3.054236295E-4,-2.825168660E-3,3.817795368E-4
3.297567240E-1,-3.054236295E-4,-3.436015919E-3,-2.290677221E-4
3.322419840E-1,-1.527118147E-3,-2.825168660E-3,9.926267667E-4
3.347272440E-1,-2.748812549E-3,-1.603474026E-3,3.817795368E-4
3.372125050E-1,-1.527118147E-3,8.399150101E-4,-8.399150101E-4
3.396978170E-1,-2.137965523E-3,-9.926267667E-4,9.926267667E-4
3.421830780E-1,-3.054236295E-4,-1.603474026E-3,-8.399150101E-4
3.446683380E-1,-3.054236295E-4,-9.926267667E-4,-1.450762269E-3
3.471535990E-1,3.054236295E-4,-3.817795368E-4,-8.399150101E-4
3.496388590E-1,-2.137965523E-3,2.290677221E-4,-2.290677221E-4
3.521241190E-1,-2.137965523E-3,2.290677221E-4,9.926267667E-4
3.546093800E-1,-1.527118147E-3,-9.926267667E-4,2.214321401E-3
3.570946920E-1,-9.162708884E-4,-1.603474026E-3,-2.290677221E-4
3.595799530E-1,9.162708884E-4,-9.926267667E-4,-2.290677221E-4
3.620652130E-1,-3.054236295E-4,-3.817795368E-4,9.926267667E-4
3.645504740E-1,-1.527118147E-3,-1.603474026E-3,-8.399150101E-4
3.670357340E-1,-2.137965523E-3,-2.825168660E-3,3.817795368E-4
3.695209940E-1,-1.527118147E-3,-1.603474026E-3,-2.290677221E-4
3.720062550E-1,-1.527118147E-3,-9.926267667E-4,9.926267667E-4
3.744915150E-1,3.054236295E-4,-9.926267667E-4,9.926267667E-4
3.769768280E-1,-1.527118147E-3,-2.214321401E-3,3.817795368E-4
3.794620880E-1,-3.054236295E-4,-2.214321401E-3,-1.450762269E-3
3.819473490E-1,-1.527118147E-3,-2.214321401E-3,-8.399150101E-4
3.844326090E-1,-3.970507067E-3,-9.926267667E-4,-2.290677221E-4
3.869178690E-1,-2.137965523E-3,-1.603474026E-3,9.926267667E-4
3.894031300E-1,-1.527118147E-3,-4.657710437E-3,-8.399150101E-4
3.918884420E-1,-2.137965523E-3,-2.825168660E-3,-2.290677221E-4
3.943736510E-1,-1.527118147E-3,-2.825168660E-3,3.817795368E-4
3.968589630E-1,-2.748812549E-3,-9.926267667E-4,-2.290677221E-4
3.993442240E-1,-2.748812549E-3,-1.603474026E-3,-8.399150101E-4
4.018294840E-1,-2.137965523E-3,-2.214321401E-3,-2.290677221E-4
4.043147440E-1,-3.359660041E-3,-2.825168660E-3,-8.399150101E-4
4.068000050E-1,-9.162708884E-4,-3.817795368E-4,3.817795368E-4
4.092852650E-1,-9.162708884E-4,-1.603474026E-3,3.817795368E-4
4.117705780E-1,-1.527118147E-3,-9.926267667E-4,3.817795368E-4
4.142558380E-1,-9.162708884E-4,-1.603474026E-3,3.817795368E-4
4.167410990E-1,-3.054236295E-4,-1.603474026E-3,-2.290677221E-4
4.192263590E-1,-3.054236295E-4,2.290677221E-4,9.926267667E-4
4.217116190E-1,-3.054236295E-4,-9.926267667E-4,3.817795368E-4
4.241968800E-1,-9.162708884E-4,-3.817795368E-4,-2.290677221E-4
4.266821920E-1,-3.054236295E-4,-1.603474026E-3,-2.290677221E-4
4.291674530E-1,-1.527118147E-3,-1.603474026E-3,1.603474026E-3
4.316527130E-1,-9.162708884E-4,-2.214321401E-3,3.817795368E-4
4.341379740E-1,-2.137965523E-3,-3.436015919E-3,-2.290677221E-4
4.366232340E-1,-2.748812549E-3,-9.926267667E-4,1.603474026E-3
4.391084940E-1,-3.970507067E-3,-1.603474026E-3,1.603474026E-3
4.415937550E-1,-2.137965523E-3,-2.214321401E-3,1.603474026E-3
4.440790150E-1,-1.527118147E-3,-9.926267667E-4,-8.399150101E-4
4.465643280E-1,-3.054236295E-4,-1.603474026E-3,3.817795368E-4
4.490495880E-1,-3.054236295E-4,-9.926267667E-4,1.603474026E-3
4.515348490E-1,-9.162708884E-4,-1.603474026E-3,-2.290677221E-4
4.540201090E-1,1.527118147E-3,-2.214321401E-3,-8.399150101E-4
4.565053690E-1,9.162708884E-4,-9.926267667E-4,-8.399150101E-4
4.589906300E-1,-3.054236295E-4,-2.825168660E-3,9.926267667E-4
4.614758900E-1,-9.162708884E-4,-3.817795368E-4,-2.290677221E-4
4.639612030E-1,-2.137965523E-3,-9.926267667E-4,3.817795368E-4
4.664464630E-1,-9.162708884E-4,-2.214321401E-3,3.817795368E-4
4.689317240E-1,3.054236295E-4,-2.214321401E-3,3.817795368E-4
4.714169840E-1,-2.748812549E-3,-9.926267667E-4,-2.290677221E-4
4.739022440E-1,-2.137965523E-3,-1.603474026E-3,9.926267667E-4
4.763875050E-1,-1.527118147E-3,-2.214321401E-3,3.817795368E-4
4.788728170E-1,-3.054236295E-4,-9.926267667E-4,-2.061609412E-3
4.813580780E-1,-1.527118147E-3,-2.214321401E-3,-8.399150101E-4
4.838433380E-1,-9.162708884E-4,-9.926267667E-4,-2.290677221E-4
4.863285990E-1,-3.054236295E-4,-1.603474026E-3,-1.450762269E-3
4.888138590E-1,-9.162708884E-4,-2.214321401E-3,-2.290677221E-4
4.912991190E-1,-3.359660041E-3,-9.926267667E-4,3.817795368E-4
4.937844320E-1,-2.137965523E-3,-9.926267667E-4,9.926267667E-4
4.962696920E-1,-2.137965523E-3,-2.825168660E-3,-2.290677221E-4
4.987549530E-1,-1.527118147E-3,-9.926267667E-4,-2.290677221E-4
5.012402130E-1,-9.162708884E-4,-1.603474026E-3,-2.290677221E-4
5.037254740E-1,-2.137965523E-3,-1.603474026E-3,1.603474026E-3
5.062107340E-1,-9.162708884E-4,-1.603474026E-3,3.817795368E-4
5.086959940E-1,-9.162708884E-4,-1.603474026E-3,-2.290677221E-4
5.111813070E-1,-1.527118147E-3,-1.603474026E-3,-2.290677221E-4
5.136665670E-1,-1.527118147E-3,-1.603474026E-3,3.817795368E-4
5.161518280E-1,-2.748812549E-3,-3.817795368E-4,-2.290677221E-4
5.186370880E-1,-2.137965523E-3,-2.214321401E-3,9.926267667E-4
5.211223490E-1,-2.137965523E-3,-9.926267667E-4,9.926267667E-4
5.236076090E-1,-3.054236295E-4,-1.603474026E-3,-2.290677221E-4
5.260928690E-1,-9.162708884E-4,-9.926267667E-4,-2.290677221E-4
5.285781820E-1,-9.162708884E-4,-3.817795368E-4,3.817795368E-4
5.310634420E-1,-9.162708884E-4,-9.926267667E-4,3.817795368E-4
5.335487030E-1,-1.527118147E-3,-2.214321401E-3,-2.290677221E-4
5.360339630E-1,-1.527118147E-3,-1.603474026E-3,-2.290677221E-4
5.385192240E-1,-1.527118147E-3,-9.926267667E-4,9.926267667E-4
5.410044840E-1,-2.137965523E-3,-9.926267667E-4,3.817795368E-4
5.434897970E-1,-1.527118147E-3,-1.603474026E-3,-2.290677221E-4
5.459750570E-1,-1.527118147E-3,-3.817795368E-4,-2.290677221E-4
5.484603170E-1,-3.054236295E-4,-9.926267667E-4,-2.061609412E-3
5.509455780E-1,-2.137965523E-3,-1.603474026E-3,-2.290677221E-4
5.534308380E-1,-9.162708884E-4,-1.603474026E-3,-8.399150101E-4
5.559160990E-1,-2.137965523E-3,-9.926267667E-4,-2.290677221E-4
5.584014110E-1,-2.137965523E-3,-2.214321401E-3,-1.450762269E-3
5.608866720E-1,-2.137965523E-3,-2.825168660E-3,1.603474026E-3
5.633719320E-1,-2.137965523E-3,-2.214321401E-3,-2.061609412E-3
5.658571920E-1,-2.137965523E-3,-2.825168660E-3,9.926267667E-4
5.683424530E-1,-1.527118147E-3,-2.825168660E-3,2.825168660E-3
5.708277130E-1,-3.054236295E-4,-2.214321401E-3,9.926267667E-4
5.733130260E-1,-2.137965523E-3,-2.825168660E-3,-2.290677221E-4
5.757982860E-1,-1.527118147E-3,-2.214321401E-3,9.926267667E-4
5.782835470E-1,-1.527118147E-3,-1.603474026E-3,3.817795368E-4
5.807688070E-1,-3.054236295E-4,-1.603474026E-3,3.817795368E-4
5.832540670E-1,-3.970507067E-3,-1.603474026E-3,1.603474026E-3
5.857393280E-1,-1.527118147E-3,-1.603474026E-3,-2.290677221E-4
5.882246400E-1,-1.527118147E-3,-1.603474026E-3,-1.450762269E-3
5.907099010E-1,-2.748812549E-3,-1.603474026E-3,-2.290677221E-4
5.931951610E-1,-2.748812549E-3,-2.825168660E-3,-2.290677221E-4
5.956804220E-1,-3.054236295E-4,-2.214321401E-3,3.817795368E-4
5.981656820E-1,9.162708884E-4,-2.214321401E-3,-2.290677221E-4
6.006509940E-1,-9.162708884E-4,-3.436015919E-3,3.817795368E-4
6.031362550E-1,-9.162708884E-4,-2.214321401E-3,-2.290677221E-4
6.056215150E-1,-3.054236295E-4,-1.603474026E-3,3.817795368E-4
6.081067760E-1,-3.054236295E-4,-2.214321401E-3,9.926267667E-4
6.105920360E-1,-1.527118147E-3,-2.214321401E-3,-2.290677221E-4
6.130772970E-1,-1.527118147E-3,-9.926267667E-4,-2.290677221E-4
6.155625570E-1,-9.162708884E-4,-9.926267667E-4,-2.290677221E-4
6.180478690E-1,3.054236295E-4,-9.926267667E-4,-2.290677221E-4
6.205331300E-1,-1.527118147E-3,-1.603474026E-3,-1.450762269E-3
6.230183900E-1,-1.527118147E-3,-1.603474026E-3,-2.290677221E-4
6.255036510E-1,-3.054236295E-4,-9.926267667E-4,-2.290677221E-4
6.279889110E-1,-2.137965523E-3,-1.603474026E-3,-2.290677221E-4
6.304741720E-1,-2.137965523E-3,-9.926267667E-4,-1.450762269E-3
6.329594840E-1,-2.137965523E-3,2.290677221E-4,-8.399150101E-4
6.354447440E-1,-2.137965523E-3,-1.603474026E-3,3.817795368E-4
6.379300050E-1,-3.054236295E-4,-9.926267667E-4,3.817795368E-4
6.404152650E-1,3.054236295E-4,-2.825168660E-3,3.817795368E-4
6.429005260E-1,-9.162708884E-4,-1.603474026E-3,-8.399150101E-4
6.453858380E-1,-2.137965523E-3,-9.926267667E-4,-2.290677221E-4
6.478710990E-1,-9.162708884E-4,-9.926267667E-4,3.817795368E-4
6.503563590E-1,-3.054236295E-4,-3.436015919E-3,3.817795368E-4
6.528416190E-1,3.054236295E-4,-2.214321401E-3,3.817795368E-4
6.553268800E-1,-1.527118147E-3,-1.603474026E-3,9.926267667E-4
6.578121920E-1,3.054236295E-4,-1.603474026E-3,3.817795368E-4
6.602974530E-1,-3.054236295E-4,-4.046862945E-3,3.817795368E-4
6.627827130E-1,-2.137965523E-3,-2.825168660E-3,-2.290677221E-4
6.652679740E-1,-2.748812549E-3,-1.603474026E-3,3.817795368E-4
6.677532340E-1,-9.162708884E-4,-9.926267667E-4,3.817795368E-4
6.702384940E-1,-1.527118147E-3,-3.817795368E-4,1.603474026E-3
6.727238070E-1,-1.527118147E-3,-1.603474026E-3,-2.290677221E-4
6.752090670E-1,-3.054236295E-4,-2.214321401E-3,-2.290677221E-4
6.776943280E-1,-2.137965523E-3,-2.825168660E-3,-8.399150101E-4
6.801795880E-1,-2.748812549E-3,-2.825168660E-3,3.817795368E-4
6.826648490E-1,-9.162708884E-4,-2.214321401E-3,3.817795368E-4
6.851501090E-1,-2.748812549E-3,-2.825168660E-3,-2.290677221E-4
6.876354220E-1,-2.137965523E-3,-2.214321401E-3,-2.290677221E-4
6.901206820E-1,-9.162708884E-4,-2.214321401E-3,-2.290677221E-4
6.926059420E-1,-3.054236295E-4,-1.603474026E-3,3.817795368E-4
6.950912030E-1,9.162708884E-4,2.290677221E-4,3.817795368E-4
6.975764630E-1,-3.054236295E-4,-2.214321401E-3,9.926267667E-4
7.000617240E-1,-2.748812549E-3,-2.825168660E-3,2.214321401E-3
7.025470360E-1,-1.527118147E-3,-1.603474026E-3,9.926267667E-4
7.050322970E-1,-3.054236295E-4,-2.214321401E-3,2.214321401E-3
7.075175570E-1,-2.137965523E-3,-3.436015919E-3,-8.399150101E-4
7.100028170E-1,-9.162708884E-4,-3.436015919E-3,9.926267667E-4
7.124880780E-1,-9.162708884E-4,-2.825168660E-3,9.926267667E-4
7.149733900E-1,-9.162708884E-4,8.399150101E-4,-2.290677221E-4
7.174586510E-1,-1.527118147E-3,-1.603474026E-3,-2.290677221E-4
7.199439110E-1,-2.137965523E-3,-9.926267667E-4,9.926267667E-4
7.224291720E-1,-1.527118147E-3,-9.926267667E-4,3.817795368E-4
7.249144320E-1,-3.054236295E-4,-9.926267667E-4,9.926267667E-4
7.273997440E-1,-9.162708884E-4,-1.603474026E-3,3.817795368E-4
7.298850050E-1,-3.054236295E-4,-9.926267667E-4,3.817795368E-4
7.323702650E-1,-9.162708884E-4,-2.214321401E-3,1.603474026E-3
7.348555260E-1,-2.137965523E-3,-1.603474026E-3,-2.290677221E-4
7.373407860E-1,-3.054236295E-4,-2.825168660E-3,-2.290677221E-4
7.398260470E-1,-9.162708884E-4,-3.436015919E-3,3.817795368E-4
7.423113590E-1,-2.137965523E-3,-2.214321401E-3,-8.399150101E-4
7.447966190E-1,-2.137965523E-3,-1.603474026E-3,-8.399150101E-4
7.472818800E-1,-9.162708884E-4,-2.214321401E-3,-1.450762269E-3
7.497671400E-1,-2.137965523E-3,-3.436015919E-3,-1.450762269E-3
7.522524010E-1,-1.527118147E-3,-1.603474026E-3,-8.399150101E-4
7.547376610E-1,-2.137965523E-3,-9.926267667E-4,1.603474026E-3
7.572229740E-1,-2.137965523E-3,-1.603474026E-3,1.603474026E-3
7.597082340E-1,-3.054236295E-4,-1.603474026E-3,1.603474026E-3
